152.3125 194.0625
151.6250 198.3750
149.4375 201.8750
147.9375 203.2500
146.2500 204.2500
144.3750 204.8750
142.3750 205.0625
140.4375 204.6875
138.6250 203.6250
136.8750 201.7500
135.1875 199.1875
133.5625 195.9375
132.0000 191.8750
130.5625 187.1250
129.1875 181.6250
124.8750 186.8750
120.3125 191.3750
115.5000 195.2500
110.5625 198.3750
105.3125 200.8125
99.8750 202.5625
94.1875 203.5625
88.3125 203.9375
83.5000 203.6875
79.0000 203.0000
74.8125 201.7500
70.9375 200.0625
67.3750 197.9375
64.0625 195.3125
61.1250 192.1250
58.5000 188.5625
56.1875 184.4375
54.1250 179.8750
52.4375 174.8125
51.0625 169.3125
49.9375 163.2500
49.1875 156.7500
48.6875 149.8125
48.5625 142.3125
48.8125 127.0000
49.6250 112.7500
51.0000 99.5625
52.9375 87.3125
53.6875 83.9375
54.6875 81.0000
55.8750 78.5000
57.3750 76.4375
59.0625 74.8750
60.9375 73.7500
63.1250 73.0625
65.5000 72.8125
68.8750 73.5000
71.8125 75.4375
73.8125 78.2500
74.5000 81.5000
74.4375 82.5625
74.3125 84.1875
74.0625 86.3750
73.7500 89.0625
73.3125 92.3125
72.8125 96.1875
72.2500 100.5625
71.5625 105.5000
69.3750 125.6875
68.6875 144.3750
69.0625 154.0625
70.1250 162.4375
72.0000 169.5625
74.5625 175.3750
77.8750 179.9375
81.8750 183.1875
86.6875 185.1250
92.1875 185.7500
99.3750 185.0625
105.8125 182.8750
111.4375 179.3125
116.3125 174.3125
120.1875 168.0000
123.0000 160.5000
124.6875 151.8125
125.2500 141.9375
125.2500 136.2500
125.2500 128.5000
125.3750 121.5000
125.5000 115.2500
125.6875 109.6875
125.9375 104.8750
126.2500 100.7500
126.5625 97.3750
127.0000 94.6875
127.6875 91.6250
128.5625 88.9375
129.6875 86.6875
130.9375 84.8125
132.4375 83.3750
134.1250 82.3750
136.0000 81.7500
138.1250 81.5000
141.7500 82.2500
144.3750 84.3750
146.0000 87.8750
146.5000 92.8125
146.4375 94.5000
146.2500 97.5625
146.0000 101.8750
145.6250 107.5625
145.0000 119.6875
144.7500 130.6250
145.0000 142.6875
145.6875 154.3125
146.8750 165.5000
148.5000 176.1250
149.3750 180.9375
150.1875 185.0625
150.8125 188.4375
151.3750 191.0000
151.8125 192.8750
152.0625 194.0000
152.2500 194.4375
